Clinic;Address;Operator;
ROLAND CONSULT Stasche & Finger GmbH;;;
Patient;Sex;Age;DateOfBirth;TestDate;PatId
SCOTOPIC, PSAMMOMYS;F;;2020-11-24;01/01/2009 01:08:20;
Class;RETIport;
Chan;Name;Range(+/-[V]);LowCut[Hz];HighCut[Hz];StimCode;StimDev;StimFreq;
1;R-1 scotopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
2;L-2 scotopic 1.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
3;R-1 scotopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
4;L-2 scotopic 3.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
5;R-1 scotopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
6;L-2 scotopic 10.0;0.00100000004749745;1;300;20;Ganzfeld Q450;0.06;
Plots of Group;3;scotopic single flash 3
Length;512;Dist[s];7.82779E-4;Channels;6
RAW DATA SECTION:;(v2: vertically stored)
Index;Time[s];Channel Values[V]
;;1;2;3;4;5;6;
;;R-1 scotopic 1.0;L-2 scotopic 1.0;R-1 scotopic 3.0;L-2 scotopic 3.0;R-1 scotopic 10.0;L-2 scotopic 10.0;
1;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.904E-0005;2.332E-0005;
2;7.828E-0004;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.830E-0005;2.332E-0005;
3;1.566E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.488E-0005;1.899E-0005;
4;2.348E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.391E-0005;1.581E-0005;
5;3.131E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.214E-0005;1.093E-0005;
6;3.914E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.037E-0005;6.170E-0006;
7;4.697E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;8.415E-0006;1.348E-0006;
8;5.479E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.000E-0005;-2.497E-0006;
9;6.262E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;8.293E-0006;-8.540E-0006;
10;7.045E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.858E-0007;-1.403E-0005;
11;7.828E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.186E-0006;-2.087E-0005;
12;8.611E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-1.624E-0005;-2.905E-0005;
13;9.393E-0003;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-2.332E-0005;-3.747E-0005;
14;1.018E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-3.071E-0005;-4.571E-0005;
15;1.096E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-4.255E-0005;-5.578E-0005;
16;1.174E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-5.378E-0005;-6.689E-0005;
17;1.252E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.324E-0005;-7.763E-0005;
18;1.331E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.934E-0005;-9.014E-0005;
19;1.409E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-7.392E-0005;-9.948E-0005;
20;1.487E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-7.752E-0005;-1.050E-0004;
21;1.566E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.070E-0005;-1.081E-0004;
22;1.644E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.326E-0005;-1.076E-0004;
23;1.722E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.375E-0005;-1.063E-0004;
24;1.800E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.137E-0005;-1.036E-0004;
25;1.879E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-7.887E-0005;-9.924E-0005;
26;1.957E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.064E-0005;-9.649E-0005;
27;2.035E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.369E-0005;-9.417E-0005;
28;2.114E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.491E-0005;-9.265E-0005;
29;2.192E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.521E-0005;-9.216E-0005;
30;2.270E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-8.485E-0005;-8.984E-0005;
31;2.348E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-7.697E-0005;-8.172E-0005;
32;2.427E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.452E-0005;-6.732E-0005;
33;2.505E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-5.384E-0005;-5.242E-0005;
34;2.583E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-4.353E-0005;-3.765E-0005;
35;2.661E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-3.284E-0005;-2.575E-0005;
36;2.740E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-2.314E-0005;-2.056E-0005;
37;2.818E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-2.094E-0005;-2.270E-0005;
38;2.896E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-3.168E-0005;-3.271E-0005;
39;2.975E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-4.798E-0005;-4.736E-0005;
40;3.053E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.019E-0005;-5.889E-0005;
41;3.131E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.434E-0005;-6.420E-0005;
42;3.209E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-5.866E-0005;-5.834E-0005;
43;3.288E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-4.707E-0005;-4.498E-0005;
44;3.366E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-2.882E-0005;-2.252E-0005;
45;3.444E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;-6.660E-0006;5.498E-0006;
46;3.523E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.665E-0005;3.071E-0005;
47;3.601E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.692E-0005;4.938E-0005;
48;3.679E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.687E-0005;5.964E-0005;
49;3.757E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.754E-0005;6.116E-0005;
50;3.836E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.308E-0005;5.726E-0005;
51;3.914E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.985E-0005;5.402E-0005;
52;3.992E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.625E-0005;4.969E-0005;
53;4.070E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.484E-0005;4.694E-0005;
54;4.149E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.869E-0005;4.566E-0005;
55;4.227E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.510E-0005;4.896E-0005;
56;4.305E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.346E-0005;5.451E-0005;
57;4.384E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.445E-0005;6.171E-0005;
58;4.462E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.000E-0005;6.635E-0005;
59;4.540E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.829E-0005;7.044E-0005;
60;4.618E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.579E-0005;7.300E-0005;
61;4.697E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.457E-0005;7.654E-0005;
62;4.775E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.298E-0005;7.856E-0005;
63;4.853E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.219E-0005;8.136E-0005;
64;4.932E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.524E-0005;8.783E-0005;
65;5.010E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.384E-0005;9.272E-0005;
66;5.088E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;8.672E-0005;9.760E-0005;
67;5.166E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;9.972E-0005;1.047E-0004;
68;5.245E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.128E-0004;1.143E-0004;
69;5.323E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.283E-0004;1.243E-0004;
70;5.401E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.434E-0004;1.389E-0004;
71;5.479E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.540E-0004;1.546E-0004;
72;5.558E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.600E-0004;1.652E-0004;
73;5.636E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.644E-0004;1.719E-0004;
74;5.714E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.680E-0004;1.764E-0004;
75;5.793E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.691E-0004;1.788E-0004;
76;5.871E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.664E-0004;1.788E-0004;
77;5.949E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.625E-0004;1.773E-0004;
78;6.027E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.592E-0004;1.740E-0004;
79;6.106E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.552E-0004;1.687E-0004;
80;6.184E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.497E-0004;1.603E-0004;
81;6.262E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.448E-0004;1.523E-0004;
82;6.341E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.378E-0004;1.429E-0004;
83;6.419E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.305E-0004;1.351E-0004;
84;6.497E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.234E-0004;1.285E-0004;
85;6.575E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.196E-0004;1.242E-0004;
86;6.654E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.157E-0004;1.207E-0004;
87;6.732E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.102E-0004;1.178E-0004;
88;6.810E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.030E-0004;1.123E-0004;
89;6.888E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;9.643E-0005;1.063E-0004;
90;6.967E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;9.155E-0005;9.907E-0005;
91;7.045E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;8.562E-0005;9.089E-0005;
92;7.123E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.720E-0005;7.959E-0005;
93;7.202E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.122E-0005;6.788E-0005;
94;7.280E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.762E-0005;5.518E-0005;
95;7.358E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.968E-0005;4.261E-0005;
96;7.436E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.157E-0005;3.455E-0005;
97;7.515E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.681E-0005;2.863E-0005;
98;7.593E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.613E-0005;2.649E-0005;
99;7.671E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.565E-0005;2.717E-0005;
100;7.750E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.498E-0005;2.906E-0005;
101;7.828E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.357E-0005;3.168E-0005;
102;7.906E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.211E-0005;3.339E-0005;
103;7.984E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.284E-0005;3.284E-0005;
104;8.063E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.278E-0005;3.260E-0005;
105;8.141E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.076E-0005;2.997E-0005;
106;8.219E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.321E-0005;3.150E-0005;
107;8.297E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.809E-0005;3.595E-0005;
108;8.376E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.071E-0005;4.181E-0005;
109;8.454E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.389E-0005;4.822E-0005;
110;8.532E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.883E-0005;5.573E-0005;
111;8.611E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.304E-0005;6.403E-0005;
112;8.689E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.847E-0005;7.209E-0005;
113;8.767E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.665E-0005;8.088E-0005;
114;8.845E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;8.624E-0005;9.217E-0005;
115;8.924E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;9.228E-0005;1.027E-0004;
116;9.002E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;9.643E-0005;1.119E-0004;
117;9.080E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.028E-0004;1.199E-0004;
118;9.159E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.066E-0004;1.245E-0004;
119;9.237E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.038E-0004;1.237E-0004;
120;9.315E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;9.875E-0005;1.180E-0004;
121;9.393E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;9.460E-0005;1.134E-0004;
122;9.472E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;9.289E-0005;1.083E-0004;
123;9.550E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;8.697E-0005;9.736E-0005;
124;9.628E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.940E-0005;8.716E-0005;
125;9.706E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.073E-0005;8.069E-0005;
126;9.785E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.457E-0005;7.673E-0005;
127;9.863E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.834E-0005;7.068E-0005;
128;9.941E-0002;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.169E-0005;6.403E-0005;
129;1.002E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.363E-0005;5.713E-0005;
130;1.010E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.698E-0005;5.127E-0005;
131;1.018E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.320E-0005;4.426E-0005;
132;1.025E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.929E-0005;3.809E-0005;
133;1.033E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.428E-0005;3.126E-0005;
134;1.041E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.190E-0005;2.564E-0005;
135;1.049E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.977E-0005;2.094E-0005;
136;1.057E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.574E-0005;2.002E-0005;
137;1.065E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.177E-0005;1.972E-0005;
138;1.072E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;9.636E-0006;2.015E-0005;
139;1.080E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.067E-0005;1.978E-0005;
140;1.088E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.208E-0005;1.893E-0005;
141;1.096E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.299E-0005;1.740E-0005;
142;1.104E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.232E-0005;1.410E-0005;
143;1.112E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.622E-0006;8.062E-0006;
144;1.119E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.631E-0006;2.630E-0006;
145;1.127E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.143E-0006;-4.328E-0006;
146;1.135E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.312E-0006;-1.141E-0005;
147;1.143E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.861E-0006;-1.318E-0005;
148;1.151E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.204E-0006;-1.086E-0005;
149;1.159E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;5.913E-0006;-4.817E-0006;
150;1.166E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.147E-0005;4.705E-0006;
151;1.174E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.617E-0005;1.435E-0005;
152;1.182E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.215E-0005;2.241E-0005;
153;1.190E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.045E-0005;2.845E-0005;
154;1.198E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.240E-0005;3.113E-0005;
155;1.205E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;2.496E-0005;3.193E-0005;
156;1.213E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.830E-0005;3.046E-0005;
157;1.221E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.867E-0005;2.790E-0005;
158;1.229E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.946E-0005;2.436E-0005;
159;1.237E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.891E-0005;2.277E-0005;
160;1.245E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.482E-0005;2.234E-0005;
161;1.252E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;1.000E-0005;2.253E-0005;
162;1.260E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;7.622E-0006;2.247E-0005;
163;1.268E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.828E-0006;2.405E-0005;
164;1.276E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;6.340E-0006;2.533E-0005;
165;1.284E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;3.410E-0006;2.448E-0005;
166;1.292E-0001;0.000E+0000;0.000E+0000;0.000E+0000;0.000E+0000;4.806E-0007;2.454E-0005;
